id,color,turn,p,i,d
132,8,14,3.888,1.769896,9.1125
133,8,5,3.888,1.79509,0
134,9,5,3.888,1.820284,0
135,9,5,3.888,1.845479,0
136,9,-3,3.564,1.869623,-9.1125
137,9,5,3.564,1.892718,0
138,9,5,3.564,1.915812,0
139,11,5,3.564,1.938907,0
140,11,-3,3.24,1.960952,-9.1125
141,11,-4,2.916,1.980898,-9.1125
142,11,4,2.916,1.999793,0
143,11,4,2.916,2.018689,0
144,11,4,2.916,2.037585,0
145,11,4,2.916,2.05648,0
146,11,4,2.916,2.075376,0
147,11,5,2.916,2.094272,0
148,11,5,2.916,2.113167,0
149,11,5,2.916,2.132063,0
150,11,5,2.916,2.150958,0
151,11,5,2.916,2.169854,0
152,11,5,2.916,2.18875,0
153,11,5,2.916,2.207645,0
154,12,5,2.916,2.226541,0
155,12,5,2.916,2.245436,0
156,12,-4,2.592,2.263282,-9.1125
157,12,4,2.592,2.280078,0
158,12,4,2.592,2.296875,0
159,12,4,2.592,2.313671,0
160,15,-4,2.268,2.329417,-9.1125
161,15,-4,1.944,2.343064,-9.1125
162,15,-5,1.62,2.354611,-9.1125
163,15,3,1.62,2.365109,0
164,15,3,1.62,2.375607,0
165,15,4,1.62,2.386104,0
166,15,4,1.62,2.396602,0
167,15,4,1.62,2.407099,0
168,15,4,1.62,2.417597,0
169,13,13,1.944,2.429144,9.1125
170,13,13,2.268,2.442791,9.1125
171,13,4,2.268,2.457488,0
172,13,4,2.268,2.472184,0
173,13,4,2.268,2.486881,0
174,11,14,2.592,2.502627,9.1125
175,12,5,2.592,2.519423,0
176,12,14,2.916,2.537269,9.1125
177,12,-3,2.592,2.555115,-9.1125
178,11,14,2.916,2.572961,9.1125
179,12,5,2.916,2.591857,0
180,12,5,2.916,2.610752,0
181,13,-3,2.592,2.628598,-9.1125
182,18,-13,1.944,2.643295,-18.225
183,18,-14,1.296,2.653792,-18.225
184,18,-14,0.648,2.660091,-18.225
185,18,3,0.648,2.66429,0
